ticket_id,booking_id,seat_number,coach_number,class_type,fare_amount
221,9348,S46-3,C3,General,223.13
222,1627,S23-3,C9,General,326.35
223,8846,S35-6,C2,General,336.44
224,1578,S45-2,C5,AC,424.59
225,7286,S49-4,C1,AC,67.18
226,8737,S31-3,C6,Sleeper,194.95
227,2672,S17-3,C9,Sleeper,294.56
228,8793,S35-6,C7,AC,282.47
229,9695,S46-3,C1,Sleeper,151.58
230,9405,S8-5,C4,General,257.59
231,7181,S18-6,C2,AC,444.05
232,360,S7-2,C5,General,417.0
233,8814,S20-2,C9,General,128.5
234,1232,S20-1,C5,AC,129.6
235,7779,S35-4,C4,AC,428.31
236,3031,S14-4,C3,AC,462.06
237,3811,S4-5,C10,Sleeper,158.85
238,5219,S50-3,C5,AC,344.89
239,4642,S16-2,C2,General,473.74
240,689,S39-3,C5,General,224.16
241,6859,S7-4,C8,General,349.38
242,938,S31-5,C1,General,329.18
243,9358,S40-6,C9,AC,228.56
244,6871,S5-4,C1,General,308.42
245,1935,S6-1,C4,General,427.98
246,6619,S47-2,C6,AC,361.9
247,2179,S5-1,C10,Sleeper,114.12
248,424,S23-4,C10,General,204.54
249,382,S2-1,C5,AC,173.38
250,5643,S28-4,C4,Sleeper,475.3
251,6134,S47-4,C3,AC,217.83
252,2536,S12-1,C3,Sleeper,252.95
253,8859,S37-2,C9,Sleeper,304.0
254,359,S21-2,C8,Sleeper,102.89
255,3717,S42-4,C7,General,383.42
256,7478,S12-1,C4,Sleeper,450.97
257,4575,S34-5,C4,Sleeper,152.34
258,7627,S31-3,C7,AC,264.13
259,4440,S25-4,C9,AC,142.03
260,3052,S18-1,C5,General,177.31
261,6858,S42-5,C10,General,487.65
262,578,S32-4,C6,AC,440.7
263,4683,S28-3,C9,AC,354.54
264,7193,S36-3,C7,AC,215.01
265,9532,S12-3,C3,AC,305.52
266,4348,S25-5,C3,General,327.62
267,9167,S24-1,C7,AC,114.98
268,8543,S32-2,C6,Sleeper,88.92
269,7651,S31-5,C7,Sleeper,166.81
270,1114,S18-3,C9,AC,349.31
271,7231,S20-4,C7,Sleeper,312.89
272,1268,S2-2,C2,General,291.6
273,2934,S32-4,C10,AC,485.88
274,6715,S43-5,C9,General,351.44
275,7178,S43-6,C5,General,463.71
276,151,S22-6,C1,General,419.23
277,5316,S31-5,C5,AC,128.95
278,1142,S26-2,C5,AC,198.71
279,8705,S47-4,C6,Sleeper,205.76
280,1408,S9-1,C5,Sleeper,354.5
281,3825,S46-5,C3,General,327.09
282,7935,S40-1,C9,General,423.88
283,7048,S43-5,C7,AC,404.53
284,4153,S28-4,C1,Sleeper,272.37
285,5734,S37-2,C10,AC,258.4
286,1754,S45-3,C6,General,440.18
287,3015,S25-3,C2,General,110.18
288,6322,S24-3,C3,General,346.14
289,9849,S24-6,C8,General,253.55
290,3206,S21-1,C7,General,157.32
291,94,S12-2,C8,General,105.95
292,3512,S42-1,C9,Sleeper,76.94
293,1348,S48-3,C10,General,73.17
294,8743,S17-4,C6,AC,211.96
295,7961,S16-3,C4,Sleeper,302.18
296,3751,S39-1,C4,Sleeper,497.41
297,1087,S36-6,C4,AC,225.6
298,4304,S40-5,C4,AC,314.43
299,163,S34-3,C7,General,282.18
300,8147,S14-2,C10,AC,451.65
301,8364,S18-3,C7,Sleeper,263.38
302,3106,S30-1,C3,AC,461.64
303,6429,S40-5,C5,AC,303.78
304,477,S39-1,C7,AC,468.5
305,461,S37-3,C8,General,139.3
306,896,S27-2,C7,AC,232.47
307,5433,S33-5,C10,General,299.03
308,2908,S18-3,C5,AC,458.56
309,3974,S6-2,C9,General,176.07
310,2291,S44-1,C10,Sleeper,256.34
311,9600,S16-6,C10,Sleeper,315.0
312,1509,S44-1,C3,Sleeper,67.13
313,1213,S22-6,C2,Sleeper,340.44
314,8320,S23-1,C4,AC,279.33
315,526,S21-3,C2,General,224.47
316,5439,S11-2,C8,Sleeper,50.55
317,8806,S29-4,C8,AC,84.79
318,884,S49-1,C4,Sleeper,121.29
319,7061,S2-4,C4,AC,392.06
320,7607,S33-6,C5,Sleeper,122.34
321,7663,S17-5,C5,AC,172.47
322,3592,S5-1,C4,Sleeper,148.22
323,3801,S35-6,C6,AC,159.22
324,7122,S31-2,C1,General,209.99
325,5618,S35-2,C2,General,240.27
326,4549,S49-3,C10,General,238.8
327,2434,S9-3,C4,Sleeper,460.19
328,1310,S10-3,C6,General,275.82
329,8515,S13-6,C10,Sleeper,360.19
330,344,S31-5,C2,AC,99.98
331,5405,S30-1,C7,AC,456.35
332,7492,S32-5,C3,AC,164.15
333,5629,S20-6,C8,AC,344.34
334,7178,S5-1,C4,Sleeper,218.24
335,6803,S34-4,C4,Sleeper,353.2
336,2139,S20-2,C7,AC,192.78
337,7033,S15-5,C5,AC,287.74
338,6082,S33-2,C2,Sleeper,410.14
339,239,S13-3,C9,General,205.23
340,7803,S9-4,C4,General,134.35
341,7759,S23-1,C3,AC,335.23
342,9928,S10-4,C5,Sleeper,99.7
343,110,S12-2,C9,AC,416.34
344,8459,S36-1,C8,Sleeper,245.61
345,6786,S48-6,C5,General,483.94
346,686,S25-6,C10,AC,310.46
347,44,S47-6,C2,General,419.75
348,4377,S15-6,C4,AC,236.32
349,3096,S38-3,C1,Sleeper,82.91
350,1267,S8-5,C8,Sleeper,358.91
351,68,S3-5,C3,Sleeper,107.52
352,903,S23-2,C3,General,125.06
353,8877,S38-2,C10,General,211.71
354,808,S34-5,C9,Sleeper,181.16
355,6275,S5-4,C2,Sleeper,439.02
356,4686,S31-5,C3,AC,413.98
357,5775,S37-5,C2,Sleeper,457.05
358,3137,S37-1,C7,AC,195.89
359,6601,S33-5,C9,AC,257.92
360,7039,S50-1,C3,AC,476.67
361,3226,S8-4,C1,Sleeper,423.12
362,5708,S4-2,C5,AC,57.02
363,3265,S9-6,C8,Sleeper,469.93
364,5726,S10-3,C2,General,486.75
365,7004,S39-3,C6,AC,453.8
366,6252,S35-4,C7,AC,228.45
367,4168,S27-5,C2,AC,124.62
368,8275,S20-1,C1,Sleeper,470.55
369,222,S45-1,C4,AC,168.39
370,7330,S33-3,C8,General,93.93
371,7778,S16-5,C3,Sleeper,481.47
372,2413,S21-6,C9,General,150.36
373,7879,S28-2,C3,Sleeper,374.31
374,4401,S22-1,C2,AC,174.17
375,7713,S32-4,C6,AC,292.55
376,6907,S28-1,C1,General,343.17
377,586,S2-3,C10,Sleeper,433.6
378,2009,S34-4,C3,General,379.28
379,8186,S39-2,C10,Sleeper,331.47
380,3377,S20-5,C10,Sleeper,178.33
381,2104,S26-5,C7,Sleeper,88.79
382,5244,S45-3,C6,General,286.56
383,310,S33-4,C6,AC,397.55
384,7552,S22-1,C4,Sleeper,279.03
385,3660,S48-6,C9,Sleeper,471.97
386,8048,S4-6,C9,AC,173.58
387,6360,S35-6,C6,Sleeper,97.43
388,3245,S41-5,C2,Sleeper,277.95
389,4888,S7-5,C5,Sleeper,327.26
390,2636,S26-6,C5,AC,254.11
391,1077,S31-4,C4,Sleeper,428.44
392,7982,S43-1,C2,Sleeper,240.01
393,3156,S26-1,C6,AC,405.47
394,9257,S32-1,C3,AC,309.92
395,1295,S41-1,C9,Sleeper,445.28
396,2704,S42-6,C8,AC,191.1
397,9796,S39-6,C10,General,50.12
398,362,S20-1,C9,AC,327.31
399,6361,S1-5,C6,AC,231.32
400,1644,S6-6,C9,Sleeper,297.79
401,2125,S6-6,C1,AC,190.95
402,7058,S20-2,C6,General,414.0
403,367,S38-4,C6,Sleeper,494.89
404,6184,S13-1,C5,General,439.19
405,2206,S33-6,C10,AC,494.82
406,1548,S34-6,C7,Sleeper,346.67
407,5240,S42-4,C9,AC,148.08
408,5197,S43-3,C10,AC,471.33
409,2779,S12-1,C7,General,450.89
410,9395,S43-2,C6,AC,287.92
411,3943,S4-1,C4,AC,290.62
412,9041,S50-4,C6,AC,331.88
413,4025,S17-6,C5,General,93.59
414,643,S33-5,C6,Sleeper,180.62
415,9135,S35-2,C2,General,425.21
416,3055,S29-6,C3,AC,430.55
417,7250,S33-2,C5,Sleeper,273.52
418,3079,S9-5,C2,General,90.02
419,7764,S6-4,C8,General,92.21
420,111,S15-3,C1,Sleeper,73.97
421,8052,S15-4,C2,AC,189.91
422,7455,S49-3,C2,AC,331.98
423,1088,S33-3,C9,Sleeper,58.09
424,1019,S2-1,C2,Sleeper,157.46
425,2761,S47-1,C5,General,314.95
426,4183,S1-1,C2,General,419.43
427,4051,S50-6,C10,Sleeper,99.02
428,9152,S47-1,C10,Sleeper,259.73
429,8062,S10-3,C5,Sleeper,340.3
430,6890,S19-3,C7,Sleeper,282.97
431,5084,S28-5,C10,Sleeper,217.99
432,8935,S48-2,C4,AC,474.8
433,7261,S20-4,C1,General,483.21
434,1709,S19-5,C8,General,497.96
435,1945,S39-2,C10,Sleeper,439.57
436,3674,S15-5,C3,General,219.14
437,6916,S8-5,C8,General,335.78
438,9514,S25-5,C2,Sleeper,219.65
439,6741,S44-5,C10,Sleeper,223.27
440,9406,S37-2,C8,AC,353.33
441,8231,S41-4,C7,AC,255.18
442,4857,S35-6,C7,AC,427.94
443,7372,S29-6,C6,General,458.87
444,7602,S32-4,C8,Sleeper,361.34
445,8307,S2-1,C8,AC,65.3
446,6742,S34-2,C4,General,378.95
447,7782,S16-2,C10,Sleeper,175.57
448,4629,S45-1,C3,AC,274.44
449,8194,S26-3,C8,Sleeper,251.04
450,8924,S24-3,C7,Sleeper,384.75
451,5889,S10-1,C8,Sleeper,110.88
452,4073,S14-1,C6,General,409.17
453,9183,S38-2,C9,General,449.27
454,2694,S46-6,C3,General,345.45
455,5678,S22-4,C7,General,390.47
456,904,S33-5,C9,Sleeper,274.18
457,523,S29-5,C10,General,80.8
458,9851,S47-1,C7,Sleeper,134.79
459,1362,S23-6,C5,Sleeper,397.82
460,4811,S40-1,C10,AC,189.63
461,7441,S1-6,C9,AC,293.56
462,6505,S32-1,C2,General,247.93
463,2595,S19-5,C9,General,192.29
464,9597,S25-2,C5,Sleeper,240.12
465,771,S40-3,C2,AC,470.07
466,6420,S30-2,C5,Sleeper,277.45
467,6217,S11-5,C8,Sleeper,87.52
468,4041,S10-1,C6,AC,240.73
469,1014,S5-6,C10,Sleeper,279.86
470,1946,S30-1,C1,AC,403.72
471,9997,S37-5,C3,General,450.7
472,7805,S6-5,C10,General,470.18
473,367,S10-2,C2,Sleeper,97.09
474,9098,S38-6,C7,Sleeper,190.93
475,3127,S20-4,C2,General,90.45
476,3899,S19-1,C8,General,165.54
477,1442,S18-4,C6,AC,185.01
478,1408,S12-2,C4,AC,213.88
479,1229,S27-3,C10,Sleeper,207.02
480,6729,S26-2,C1,General,138.38
481,3274,S15-5,C7,General,188.48
482,6548,S22-1,C1,AC,471.76
483,4292,S14-3,C3,AC,431.24
484,24,S5-5,C2,AC,214.65
485,6515,S17-4,C1,AC,343.08
486,6997,S41-6,C8,AC,278.27
487,1624,S14-3,C2,AC,408.54
488,2453,S18-3,C9,AC,173.62
489,9568,S5-6,C6,Sleeper,205.74
490,402,S37-1,C5,Sleeper,483.56
491,1244,S34-3,C1,AC,472.2
492,9808,S10-5,C5,General,379.31
493,5964,S7-2,C3,AC,88.61
494,566,S20-5,C10,Sleeper,439.53
495,7034,S50-3,C4,General,169.38
496,7735,S46-1,C10,General,94.1
497,2593,S42-1,C6,Sleeper,468.42
498,1558,S25-2,C4,General,354.26
499,2481,S43-2,C7,Sleeper,193.02
500,3605,S9-5,C7,AC,270.32
501,1962,S8-6,C10,Sleeper,368.73
502,9403,S48-1,C3,General,396.19
503,3472,S1-1,C7,Sleeper,441.93
504,8717,S8-5,C4,General,330.17
505,4396,S24-1,C7,AC,306.73
506,8087,S29-4,C2,General,371.88
507,7156,S1-4,C10,Sleeper,92.7
508,2305,S40-2,C4,Sleeper,475.67
509,5346,S37-1,C4,General,144.3
510,3380,S6-3,C4,AC,244.3
511,8904,S30-6,C3,General,189.99
512,5801,S45-6,C1,AC,373.43
513,460,S37-3,C2,AC,407.02
514,8134,S6-4,C9,Sleeper,289.34
515,9993,S35-2,C2,General,342.74
516,4756,S19-4,C9,Sleeper,415.74
517,1586,S26-2,C7,Sleeper,319.05
518,65,S14-5,C7,General,178.18
519,7196,S15-2,C3,Sleeper,457.8
520,2264,S17-2,C7,Sleeper,253.85
521,9113,S47-2,C7,General,385.75
522,2598,S22-3,C2,AC,204.06
523,2235,S34-4,C9,AC,264.57
524,122,S18-3,C8,AC,363.47
525,7255,S28-3,C4,AC,170.98
526,58,S23-4,C10,AC,350.48
527,551,S25-6,C6,Sleeper,390.05
528,3555,S12-5,C4,General,107.69
529,4898,S18-6,C9,Sleeper,174.99
530,6132,S8-5,C10,AC,193.66
531,85,S49-5,C10,AC,267.27
532,4323,S32-2,C9,Sleeper,384.75
533,7381,S2-4,C7,Sleeper,205.82
534,9,S7-6,C7,Sleeper,134.24
535,4928,S13-6,C8,AC,495.0
536,4245,S40-3,C9,AC,124.26
537,8487,S17-5,C3,AC,102.72
538,2817,S34-6,C4,Sleeper,195.22
539,6963,S36-2,C1,General,434.9
540,8335,S12-1,C8,General,276.0
541,71,S39-5,C9,Sleeper,126.97
542,590,S38-2,C6,Sleeper,331.75
543,65,S42-6,C10,AC,395.29
544,3204,S41-3,C5,AC,304.21
545,3467,S4-6,C3,AC,439.39
546,9520,S9-5,C10,Sleeper,125.39
547,1424,S2-1,C3,Sleeper,265.64
548,9199,S9-3,C8,General,489.11
549,9350,S33-5,C4,AC,404.97
550,4107,S14-2,C7,Sleeper,154.41
551,2798,S20-1,C9,Sleeper,435.06
552,7665,S31-6,C1,Sleeper,154.84
553,8752,S7-4,C2,AC,72.15
554,6223,S35-3,C3,AC,221.55
555,8295,S33-5,C10,AC,419.83
556,2649,S44-1,C9,AC,102.68
557,5868,S6-2,C3,General,437.05
558,6827,S25-1,C1,General,312.52
559,7483,S45-3,C10,AC,463.25
560,1685,S50-4,C2,AC,496.58
561,1024,S16-4,C5,General,374.3
562,4065,S31-2,C6,General,352.92
563,351,S49-1,C3,AC,320.99
564,6981,S33-3,C9,General,141.69
565,3757,S45-2,C10,General,359.47
566,8864,S43-4,C8,Sleeper,200.84
567,3017,S47-5,C6,General,329.38
568,9748,S49-3,C8,Sleeper,404.44
569,4949,S29-6,C8,Sleeper,70.01
570,1447,S39-1,C1,Sleeper,214.93
571,3588,S26-2,C6,General,116.85
572,7704,S12-2,C5,Sleeper,480.95
573,1420,S24-3,C9,General,468.92
574,7109,S27-2,C2,General,342.08
575,3625,S35-4,C1,AC,99.46
576,5618,S20-2,C2,Sleeper,429.84
577,8552,S49-5,C10,AC,325.32
578,9788,S46-1,C10,Sleeper,376.34
579,6331,S21-6,C10,AC,102.92
580,3364,S15-4,C7,AC,187.46
581,1966,S18-2,C2,Sleeper,405.06
582,4324,S2-6,C1,General,91.78
583,8960,S4-1,C2,Sleeper,453.69
584,4064,S36-2,C3,AC,426.99
585,3854,S11-4,C6,AC,484.4
586,9316,S47-3,C2,General,281.23
587,8210,S8-6,C10,AC,275.26
588,5413,S21-1,C8,General,100.76
589,4670,S16-4,C10,General,456.35
590,669,S42-2,C5,AC,321.1
591,4204,S35-5,C4,Sleeper,488.6
592,4647,S40-3,C1,General,71.01
593,1139,S3-1,C7,General,196.64
594,8863,S6-5,C9,General,147.18
595,3124,S6-4,C8,General,481.75
596,2760,S25-4,C5,Sleeper,393.01
597,3894,S46-1,C8,AC,51.31
598,9240,S37-5,C1,General,475.87
599,4557,S2-5,C2,Sleeper,218.98
600,1807,S4-5,C2,AC,330.73
601,6055,S7-1,C6,General,123.0
602,418,S35-4,C6,Sleeper,375.95
603,4740,S38-3,C6,General,210.82
604,8733,S13-5,C4,Sleeper,286.35
605,7121,S25-6,C6,AC,447.97
606,4027,S17-4,C9,Sleeper,406.87
607,6723,S34-5,C9,General,105.9
608,7684,S41-6,C9,AC,496.97
609,3905,S12-1,C2,General,258.96
610,3571,S2-4,C9,Sleeper,258.91
611,6944,S9-2,C3,AC,200.94
612,8702,S35-1,C2,General,383.28
613,1906,S11-6,C8,AC,238.38
614,5941,S7-5,C1,AC,498.87
615,4360,S20-2,C5,AC,260.73
616,319,S4-3,C3,AC,323.72
617,6739,S21-4,C2,Sleeper,202.37
618,4887,S23-5,C5,AC,305.68
619,5782,S6-5,C7,Sleeper,164.42
620,293,S5-6,C5,Sleeper,361.72
621,9626,S2-3,C5,General,185.31
622,9363,S28-2,C6,Sleeper,422.71
623,6898,S23-2,C9,General,255.54
624,3557,S38-6,C1,AC,455.31
625,6396,S48-4,C8,AC,365.71
626,4207,S42-3,C3,Sleeper,485.31
627,3943,S7-3,C8,General,317.18
628,149,S26-3,C9,Sleeper,96.11
629,2146,S18-3,C1,AC,246.95
630,3831,S28-2,C6,Sleeper,354.02
631,6907,S48-5,C1,Sleeper,305.97
632,2397,S30-1,C7,AC,127.1
633,9950,S42-2,C6,Sleeper,456.65
634,21,S6-4,C8,Sleeper,436.62
635,5625,S22-5,C2,Sleeper,107.23
636,7121,S7-2,C6,General,407.38
637,2238,S29-1,C2,General,494.28
638,9025,S9-2,C4,General,398.59
639,2173,S42-6,C1,Sleeper,124.73
640,3650,S3-3,C7,AC,380.4
641,280,S50-4,C2,General,465.84
642,6099,S15-2,C2,Sleeper,203.05
643,4834,S45-5,C4,AC,432.56
644,2912,S48-5,C8,AC,137.0
645,1745,S50-5,C5,General,470.13
646,3880,S16-4,C5,General,117.8
647,5647,S10-6,C10,AC,164.04
648,8535,S30-1,C7,AC,137.35
649,3429,S46-1,C4,Sleeper,122.44
650,7112,S49-5,C9,Sleeper,259.86
651,1568,S33-2,C2,General,420.64
652,5479,S22-4,C5,General,89.42
653,2193,S49-3,C2,Sleeper,96.73
654,8949,S13-6,C4,AC,56.85
655,1278,S31-5,C2,General,455.69
656,4361,S45-6,C6,General,214.57
657,7758,S28-6,C7,General,389.84
658,6174,S10-3,C4,AC,253.09
659,1692,S7-4,C2,General,111.35
660,3739,S20-3,C8,General,170.78
661,7281,S22-4,C6,General,374.5
662,2830,S14-1,C1,Sleeper,133.21
663,2921,S9-2,C8,Sleeper,231.09
664,6309,S20-2,C4,General,378.59
665,5827,S6-5,C10,General,253.25
666,2619,S5-1,C2,AC,110.07
667,2650,S29-1,C10,General,310.28
668,911,S27-4,C7,General,165.5
669,778,S41-6,C2,General,397.89
670,8171,S49-6,C4,Sleeper,68.05
671,658,S40-1,C1,General,394.69
672,6429,S3-1,C6,Sleeper,341.73
673,768,S20-5,C6,AC,454.32
674,8763,S26-6,C6,Sleeper,59.39
